Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species
FINNEY-RAMER,12/14,5,7,7,1.40,,1.40,3,2,GWTL,CINT
FINNEY-RAMER,12/15,5,9,9,1.80,,1.80,5,4,GWTL,SHOV
FINNEY-RAMER,12/16,2,4,4,2.00,,2.00,3,1,GWTL,SHOV
COLUSA,12/12,63,124,125,1.97,0.03,1.98,52,21,GADW,SHOV
COLUSA,12/15,92,263,265,2.86,0.02,2.88,83,50,GADW,GWTL
COLUSA,12/16,70,92,95,1.31,0.04,1.36,33,18,GADW,GWTL
GADWALL (NO.GL),12/12,32,92,92,2.88,,2.88,42,14,GWTL,SHOV
GADWALL (NO.GL),12/15,27,118,118,4.37,,4.37,80,13,GWTL,SHOV
GADWALL (NO.GL),12/16,31,46,46,1.48,,1.48,35,4,GWTL,SHOV
GOLD HILLS,12/12,4,0,0,,,,0,0,,
GOLD HILLS,12/15,0,0,0,,,,0,0,,
GOLD HILLS,12/16,0,0,0,,,,0,0,,
GOODYEAR SLOUGH,12/12,3,0,0,,,,0,0,,
GOODYEAR SLOUGH,12/15,3,6,6,2.00,,2.00,3,2,GWTL,AMWI
GOODYEAR SLOUGH,12/16,3,0,0,,,,0,0,,
GRAY LODGE,12/12,141,195,211,1.38,0.04,1.50,47,40,MALL,SHOV
GRAY LODGE,12/15,243,327,367,1.35,0.02,1.51,98,69,MALL,AMWI
GRAY LODGE,12/16,137,188,219,1.37,0.15,1.60,35,32,SHOV,AMWI
GRIZZLY ISLAND,12/12,101,174,175,1.72,0.02,1.73,38,37,SHOV,GWTL
GRIZZLY ISLAND,12/15,181,232,232,1.28,,1.28,69,56,GWTL,AMWI
GRIZZLY ISLAND,12/16,66,50,50,0.76,,0.76,16,12,AMWI,PNTL
JOICE ISLAND,12/16,5,4,5,0.80,0.20,1.00,3,1,MALL,CINT
HONEY LAKE-DAKIN,12/12,30,35,58,1.17,0.77,1.93,26,4,MALL,AMWI
HONEY LAKE-DAKIN,12/15,42,96,121,2.29,0.60,2.88,30,22,AMWI,MALL
