Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species,Season_Week,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species,Unnamed: 0,Unnamed: 13
GRAY LODGE,2020-12-23,211,377,25,402,1.8,0.1,1.9,MALL,AMWI,12.0,,,,,,
GRAY LODGE,2020-12-26,96,178,37,215,1.9,0.4,2.2,MALL,AMWI,13.0,,,,,,
SACRAMENTO,2020-12-23,198,278,38,316,1.4,0.2,1.6,GADW,NSHO,12.0,,,,,,
SACRAMENTO,2020-12-26,98,85,5,90,0.9,0.1,0.9,NSHO,GADW,13.0,,,,,,
SUTTER,2020-12-23,82,196,2,198,2.4,0.0,2.4,AGWT,MALL,12.0,,,,,,
SUTTER,2020-12-26,25,95,0,95,3.8,0.0,3.8,AGWT,MALL,13.0,,,,,,
DELEVAN,2021-01-06,172,587,35,622,3.4,0.2,3.6,GADW,NSHO,14.0,,,,,,
DELEVAN,2021-01-09,127,230,22,252,1.8,0.2,2.0,NSHO,GADW,15.0,,,,,,
GRAY LODGE,2021-01-06,275,485,45,530,1.8,0.2,1.9,GADW,MALL,14.0,,,,,,
GRAY LODGE,2021-01-09,136,193,26,219,1.4,0.2,1.6,MALL,AMWI,15.0,,,,,,
SACRAMENTO,2021-01-06,194,417,20,437,2.1,0.1,2.3,NSHO,GADW,14.0,,,,,,
SACRAMENTO,2021-01-09,137,136,18,154,1.0,0.1,1.1,NSHO,MALL,15.0,,,,,,
SUTTER,2021-01-06,83,304,50,354,3.7,0.6,4.3,AGWT,AMWI,14.0,,,,,,
SUTTER,2021-01-09,95,172,15,187,1.8,0.2,2.0,AGWT,AMWI,15.0,,,,,,
DELEVAN,2021-01-13,178,988,40,1028,5.6,0.2,5.8,AGWT,GADW,15.0,,,,,,
DELEVAN,2021-01-16,142,488,19,507,3.4,0.1,3.6,GADW,NSHO,16.0,,,,,,
GRAY LODGE,2021-01-13,265,944,181,1125,3.6,0.7,4.3,MALL,GADW,15.0,,,,,,
GRAY LODGE,2021-01-16,188,473,96,569,2.5,0.5,3.0,MALL,GADW,16.0,,,,,,
SACRAMENTO,2021-01-13,203,776,55,831,3.8,0.3,4.1,GADW,NSHO,15.0,,,,,,
SACRAMENTO,2021-01-16,130,324,72,396,2.5,0.6,3.1,GADW,MALL,16.0,,,,,,
SUTTER,2021-01-13,92,464,87,551,5.0,1.0,6.0,AMWI,MALL,15.0,,,,,,
SUTTER,2021-01-16,105,331,59,390,3.2,0.6,3.7,AMWI,MALL,16.0,,,,,,
DELEVAN,2021-01-27,182,458,106,564,2.5,0.6,3.1,GADW,AGWT,17.0,,,,,,
DELEVAN,2021-01-30,166,221,27,248,1.3,0.2,1.5,AGWT,GADW,18.0,,,,,,
GRAY LODGE,2021-01-27,230,483,1,484,2.1,0.0,2.1,AGWT,AMWI,17.0,,,,,,
GRAY LODGE,2021-01-30,120,132,3,135,1.1,0.0,1.1,AGWT,MALL,18.0,,,,,,
SACRAMENTO,2021-01-27,244,598,114,712,2.5,0.5,2.9,GADW,AGWT,17.0,,,,,,
SACRAMENTO,2021-01-30,185,153,68,221,0.8,0.4,1.2,NSHO,GADW,18.0,,,,,,
SAN JACINTO,2021-02-06,107,123,0,123,1.1,0.0,1.1,CITE,NSHO,19.0,,,,,,
SAN LUIS,2021-02-06,12,38,0,38,3.2,0.0,3.2,AGWT,CITE,19.0,,,,,,
SAN LUIS,2021-02-07,5,16,0,16,3.2,0.0,3.2,NSHO,MALL,19.0,,,,,,
SHASTA VALLEY,2021-09-19,6,6,0,6,1.0,0.0,1.0,MALL,GADW,51.0,,,,,,
SHASTA VALLEY,2021-09-20,1,0,0,0,0.0,0.0,0.0,,,51.0,,,,,,
SUTTER,2021-01-27,106,273,75,348,2.6,0.7,3.3,MALL,GADW,17.0,,,,,,
SUTTER,2021-01-30,98,242,57,299,2.5,0.6,3.1,AGWT,MALL,18.0,,,,,,
SUTTER,2021-02-07,42,125,19,144,3.0,0.5,3.4,AMWI,NOPI,19.0,,,,,,
VOLTA,2021-02-06,23,99,0,99,4.3,0.0,4.3,AGWT,NSHO,19.0,,,,,,
