Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
Ash Creek,9/26,14,47,7,54,3.36,0.50,3.86,MALL,NSHO
Ash Creek,9/27,2,1,0,1,0.50,0.00,0.50,AMWI,
Butte Valley,9/26,0,0,0,0,0.00,0.00,0.00,,
Butte Valley,9/27,0,0,0,0,0.00,0.00,0.00,,
China Island,2/6,1,1,0,1,1.00,0.00,1.00,AMWI,
Colusa,2/6,32,118,25,143,3.69,0.78,4.47,AGWT,AMWI
Colusa,2/7,26,76,34,110,2.92,1.31,4.23,NOPI,LSGO
Delevan,2/6,50,175,80,255,3.50,1.60,5.10,LSGO,AGWT
Delevan,2/7,18,50,22,72,2.78,1.22,4.00,NOPI,LSGO
Delta - Twitchell,2/6,6,7,0,7,1.17,0.00,1.17,AGWT,
Freitas North,2/6,4,4,0,4,1.00,0.00,1.00,MALL,
Freitas North,2/7,2,1,0,1,0.50,0.00,0.50,AGWT,AMWI
Freitas South,2/6,0,0,0,0,0.00,0.00,0.00,,
Freitas South,2/7,1,0,4,4,0.00,4.00,4.00,LSGO,
Gadwall,2/6,2,8,0,8,4.00,0.00,4.00,AGWT,AMWI
Gadwall,2/7,0,0,0,0,0.00,0.00,0.00,,
Gray Lodge,2/6,55,184,31,215,3.35,0.56,3.91,NOPI,AGWT
Gray Lodge,2/7,29,83,23,106,2.86,0.79,3.66,NOPI,GADW
Grizzly Island,2/6,10,35,1,36,3.50,0.10,3.60,NSHO,AGWT
Grizzly Island,2/7,4,14,0,14,3.50,0.00,3.50,MALL,NOPI
Honey Lake - Dakin,9/26,1,1,0,1,1.00,0.00,1.00,AGWT,
Honey Lake - Dakin,9/27,2,3,0,3,1.50,0.00,1.50,MALL,AGWT
Honey Lake - Fleming,9/26,0,0,0,0,0.00,0.00,0.00,,
Honey Lake - Fleming,9/27,0,0,0,0,0.00,0.00,0.00,,
Kern,2/6,30,81,2,83,2.70,0.07,2.77,NSHO,AGWT
Kesterson,2/6,11,38,0,38,3.45,0.00,3.45,AGWT,NOPI
Kesterson,2/7,6,12,3,15,2.00,0.50,2.50,AGWT,NSHO
Little Dry Creek,2/6,32,92,6,98,2.88,0.19,3.06,GADW,MALL
Little Dry Creek,2/7,15,33,0,33,2.20,0.00,2.20,GADW,NSHO
Los Banos,2/6,39,145,1,146,3.72,0.03,3.74,NOPI,AGWT
Los Banos,2/7,28,66,0,66,2.36,0.00,2.36,AGWT,NOPI
Mendota,2/6,42,140,16,156,3.33,0.38,3.71,AGWT,NSHO
Mendota,2/7,29,44,9,53,1.52,0.31,1.83,CITE,AGWT
Merced,2/6,8,23,2,25,2.88,0.25,3.13,NOPI,NOPI
Sacramento,2/6,69,200,173,373,2.90,2.51,5.41,LSGO,AGWT
Sacramento,2/7,28,47,100,147,1.68,3.57,5.25,LSGO,ROGO
Salt Slough,2/6,11,45,1,46,4.09,0.09,4.18,NOPI,NSHO
Salt Slough,2/7,9,10,0,10,1.11,0.00,1.11,MALL,NOPI
Sonny Bono Salton Sea,2/6,6,9,14,23,1.50,2.33,3.83,LSGO,SCAU
Sonny Bono Salton Sea,2/7,4,0,0,0,0.00,0.00,0.00,,
San Jacinto,2/6,59,153,0,153,2.59,0.00,2.59,NSHO,AGWT
San Luis,2/6,5,18,3,21,3.60,0.60,4.20,AGWT,RNDU
San Luis,2/7,0,0,0,0,0.00,0.00,0.00,,
Sutter,2/6,19,57,3,60,3.00,0.16,3.16,NOPI,AMWI
Sutter,2/7,6,15,0,15,2.50,0.00,2.50,MALL,NOPI
Volta,2/6,9,28,0,28,3.11,0.00,3.11,MALL,NOPI
Volta,2/7,2,11,0,11,5.50,0.00,5.50,MALL,GADW
Ash Creek,10/21,8,19,0,19,2.38,0.00,2.38,MALL,GADW
Ash Creek,10/24,9,30,0,30,3.33,0.00,3.33,MALL,GADW
Ash Creek,10/25,5,16,0,16,3.20,0.00,3.20,AMWI,"MALL, GADW"
Butte Valley,10/21,0,0,0,0,0.00,0.00,0.00,,
Butte Valley,10/24,0,0,0,0,0.00,0.00,0.00,,
Butte Valley,10/25,0,0,0,0,0.00,0.00,0.00,,
Honey Lake Dakin,10/21,23,16,0,16,1.45,0.00,1.45,AGWT,MALL
Honey Lake Dakin,10/24,48,17,0,17,2.83,0.00,2.83,AGWT,AMWI
Honey Lake Dakin,10/25,10,7,0,7,1.40,0.00,1.40,MALL,NONE
Honey Lake Fleming,10/21,1,7,0,7,7.00,0.00,7.00,AGWT,AMWI
Honey Lake Fleming,10/24,1,7,0,7,7.00,0.00,7.00,AGWT,GADW
Honey Lake Fleming,10/25,1,4,0,4,4.00,0.00,4.00,GADW,"MALL, AGWT"
Shasta Valley,10/21,9,14,0,14,1.56,0.00,1.56,AGWT,MALL
Shasta Valley,10/24,18,33,0,33,1.83,0.00,1.83,AGWT,MALL
Shasta Valley,10/25,15,13,0,13,0.87,0.00,0.87,"MALL, AGWT, NSHO",RNDU
Willow Creek,10/21,5,12,0,12,2.40,0.00,2.40,"GADW, AMWI","MALL, NOPI, AGWT"
Willow Creek,10/24,5,13,0,13,2.60,0.00,2.60,MALL,GADW
Willow Creek,10/25,4,4,0,4,1.00,0.00,1.00,MALL,GADW
San Luis,10/24,145,319,0,319,2.20,0.00,2.20,AGWT,NSHO
San Luis,10/25,81,134,0,136,1.65,0.00,1.68,AGWT,NSHO
Wister,10/24,354,1952,3,1965,5.51,0.01,5.55,AGWT,CITE
Wister,10/25,162,263,1,274,1.62,0.01,1.69,AGWT,CITE
Sonny Bono Salton Sea,10/24,28,177,0,177,6.32,0.00,6.32,AGWT,CITE
Sonny Bono Salton Sea,10/25,2,0,0,0,0.00,0.00,0.00,,
Mendota,10/24,489,2162,6,2179,4.42,0.01,4.46,NSHO,AGWT
Mendota,10/25,268,518,2,526,1.93,0.01,1.96,AGWT,NSHO
Gray Lodge,10/24,291,892,14,908,3.07,0.05,3.12,RNDU,NOPI
Gray Lodge,10/25,197,303,4,309,1.54,0.02,1.57,NOPI,RNDU
Sacramento,10/24,279,1164,82,1246,4.20,0.30,4.50,AGWT,NSHO
Sacramento,10/25,196,455,39,495,2.30,0.20,2.50,NOPI,AGWT
Colusa,10/24,121,510,17,529,4.20,0.10,4.40,NSHO,GADW
Colusa,10/25,100,204,4,208,2.00,0.00,2.10,NSHO,NOPI
Delevan,10/24,228,933,104,1039,4.10,0.50,4.60,NSHO,GADW
Delevan,10/25,176,407,33,445,2.30,0.20,2.50,NOPI,NSHO
Grizzly Island,10/24,395,1109,2,1116,2.81,0.01,2.83,NSHO,AGWT
Grizzly Island,10/25,152,241,1,259,1.59,0.01,1.70,NSHO,AGWT
San Jacinto,10/24,239,1216,0,1236,5.11,0.00,5.19,CITE,NSHO
Howard Slough,10/24,93,333,16,349,3.58,0.17,3.75,AMWI,NOPI
Howard Slough,10/25,75,169,10,179,2.25,0.13,2.39,NOPI,AMWI
Little Dry Creek,10/24,39,189,46,238,4.85,1.18,6.10,AMWI,MALL
Little Dry Creek,10/25,33,143,17,160,4.33,0.52,4.85,NOPI,MALL
Llano Seco,10/24,44,126,14,140,2.86,0.32,3.18,NSHO,NOPI
Llano Seco,10/25,27,65,3,69,2.41,0.11,2.56,"AMWI, NSHO","GADW, NOPI"
Freitas South,10/24,14,18,0,19,1.29,0.00,1.36,AGWT,"MALL, NSHO"
Freitas South,10/25,2,0,0,0,0.00,0.00,0.00,,
Salt Slough,10/24,66,166,0,166,2.52,0.00,2.52,MALL,NSHO
Salt Slough,10/24,32,68,0,68,2.13,0.00,2.13,MALL,AGWT
Gadwall,10/24,15,32,0,32,2.13,0.00,2.13,NSHO,AGWT
Gadwall,10/24,12,14,0,16,1.17,0.00,1.33,AGWT,NSHO
Ash Creek,10/28,15,61,0,61,4.07,0.00,4.07,AGWT,MALL
Ash Creek,10/31,10,32,1,33,3.20,0.10,3.30,AMWI,AGWT
Ash Creek,11/1,15,15,0,15,1.00,0.00,1.00,GADW,AMWI
Butte Valley,10/28,1,0,0,0,0.00,0.00,0.00,,
Butte Valley,10/31,1,3,0,3,3.00,0.00,3.00,MALL,AGWT
Butte Valley,11/1,1,0,0,0,0.00,0.00,0.00,,
China Island,10/28,3,0,0,0,0.00,0.00,0.00,,
China Island,10/31,1,1,0,1,1.00,0.00,1.00,CITE,
China Island,11/1,2,0,0,0,0.00,0.00,0.00,,
Delevan,10/28,160,404,21,425,2.53,0.13,2.66,NSHO,NOPI
Delevan,10/31,166,587,15,602,3.54,0.09,3.63,NSHO,NOPI
Delevan,11/1,140,487,15,502,3.48,0.11,3.59,NSHO,NOPI
Freitas North,10/28,4,3,0,3,0.75,0.00,0.75,MALL,
Freitas North,10/31,9,19,0,19,2.11,0.00,2.11,AGWT,MALL
Freitas North,11/1,3,3,0,3,1.00,0.00,1.00,MALL,
Freitas South,10/28,0,0,0,0,0.00,0.00,0.00,,
Freitas South,10/31,1,0,0,0,0.00,0.00,0.00,,
Freitas South,11/1,3,0,0,0,0.00,0.00,0.00,,
Gadwall,10/28,13,15,0,15,1.15,0.00,1.15,NSHO,AGWT
Gadwall,10/31,9,23,0,23,2.56,0.00,2.56,NSHO,RNDU
Gadwall,11/1,4,0,0,0,0.00,0.00,0.00,,
Grizzly Island,10/28,119,119,2,121,1.00,0.02,1.02,NSHO,AGWT
Grizzly Island,10/31,155,100,0,100,0.65,0.00,0.65,NSHO,MALL
Grizzly Island,11/1,104,51,0,51,0.49,0.00,0.49,NSHO,MALL
Honey Lake - Dakin,10/28,7,21,2,23,3.00,0.29,3.29,MALL,AGWT
Honey Lake - Dakin,10/31,10,20,0,20,2.00,0.00,2.00,MALL,GADW
Honey Lake - Dakin,11/1,7,7,0,7,1.00,0.00,1.00,MALL,NOPI
Honey Lake - Fleming,10/28,5,7,0,7,1.40,0.00,1.40,AGWT,NOPI
Honey Lake - Fleming,10/31,2,5,0,5,2.50,0.00,2.50,MALL,NOPI
Honey Lake - Fleming,11/1,2,4,0,4,2.00,0.00,2.00,MALL,
Howard Slough,10/28,66,92,4,96,1.39,0.06,1.45,AMWI,NSHO
Howard Slough,10/31,64,79,3,82,1.23,0.05,1.28,NSHO,AMWI
Howard Slough,11/1,75,142,5,147,1.89,0.07,1.96,AMWI,AGWT
Kesterson,10/28,35,26,0,26,0.74,0.00,0.74,MALL,MALL
Kesterson,10/31,34,51,2,53,1.50,0.06,1.56,AGWT,NSHO
Kesterson,11/1,29,11,0,11,0.38,0.00,0.38,MALL,NOPI
Little Dry Creek,10/28,36,90,1,91,2.50,0.03,2.53,NSHO,GADW
Little Dry Creek,10/31,36,115,5,120,3.19,0.14,3.33,AMWI,NSHO
Little Dry Creek,11/1,35,99,3,102,2.83,0.09,2.91,AMWI,GADW
Llano Seco,10/28,28,45,0,45,1.61,0.00,1.61,NSHO,AMWI
Llano Seco,10/31,29,59,1,60,2.03,0.03,2.07,AMWI,NOPI
Llano Seco,11/1,32,37,3,40,1.16,0.09,1.25,AMWI,NSHO
Los Banos,10/28,70,112,0,112,1.60,0.00,1.60,MALL,AGWT
Los Banos,10/31,81,101,0,101,1.25,0.00,1.25,MALL,MALL
Los Banos,11/1,48,36,1,37,0.75,0.02,0.77,MALL,AGWT
Mendota,10/28,164,292,0,292,1.78,0.00,1.78,AGWT,NSHO
Mendota,10/31,195,250,0,250,1.28,0.00,1.28,BWTE,AGWT
Mendota,11/1,93,52,0,52,0.56,0.00,0.56,NSHO,MALL
Merced,10/28,7,23,0,23,3.29,0.00,3.29,GADW,MALL
Merced,10/31,6,11,0,11,1.83,0.00,1.83,MALL,MALL
Merced,11/1,0,0,0,0,0.00,0.00,0.00,,
Sacramento,10/28,179,431,15,446,2.41,0.08,2.49,NSHO,RNDU
Sacramento,10/31,159,345,33,378,2.17,0.21,2.38,NSHO,NOPI
Sacramento,11/1,173,227,13,240,1.31,0.08,1.39,NSHO,RNDU
Salt Slough,10/28,23,31,0,31,1.35,0.00,1.35,MALL,AGWT
Salt Slough,10/31,32,43,0,43,1.34,0.00,1.34,AGWT,MALL
Salt Slough,11/1,26,13,0,13,0.50,0.00,0.50,AGWT,MALL
San Jacinto,10/28,142,238,0,238,1.68,0.00,1.68,RNDU,CITE
San Jacinto,10/31,155,261,0,261,1.68,0.00,1.68,CITE,AGWT
San Luis,10/28,67,80,0,80,1.19,0.00,1.19,AGWT,MALL
San Luis,10/31,71,142,0,142,2.00,0.00,2.00,AGWT,NSHO
San Luis,11/1,47,35,0,35,0.74,0.00,0.74,MALL,AGWT
Shasta Valley,10/28,10,30,0,30,3.00,0.00,3.00,AGWT,NOPI
Shasta Valley,10/31,12,25,0,25,2.08,0.00,2.08,AGWT,MALL
